,death,predicted_death,lower_bound,upper_bound,infected,symptomatic,hospitalized,confirmed,ICU,hospital_beds
2020-04-16,35030.0,39740.77493152318,32461.31411992076,48719.08688845876,18974030.011236858,1526228.004339939,326193.82837853616,669261.0,24349.75368832962,87202.70967400298
2020-04-17,37620.0,41706.94528944953,33876.896815621585,51449.99472459501,19274459.95987132,1569541.5664548194,335451.0406736773,701985.0,23595.69143677759,84502.21945796715
2020-04-18,39965.0,43612.22735807285,35204.95345564705,54183.38699990333,19565586.205215774,1611513.7958158192,344421.5759684792,730306.0,22864.980956520405,81885.35792083554
2020-04-19,41147.0,45458.50672363406,36449.8743129327,56921.51085392033,19847696.864001933,1652186.2307649443,353114.3120654491,756364.0,22156.899090787545,79349.53525284187
2020-04-20,42917.0,47247.6105796107,37616.12937095138,59666.10140078439,20121071.13057345,1691599.1232863963,361537.85183964175,783705.0,21470.745077500014,76892.24184535076
2020-04-21,45313.0,48981.30953502176,38708.15284714115,62418.52580697094,20385979.55319411,1729791.478842452,369700.53175260266,809202.0,20805.83985575237,74511.04580719215
2020-04-22,47648.0,50661.3193667331,39730.27131305413,65179.881881411566,20642684.301799282,1766801.094975707,377610.43010265124,837403.0,20161.525393771633,72203.59055790985
2020-04-23,49968.0,52289.30271749744,40686.6599816887,67951.06673259738,20891439.427455697,1802664.5987158867,385275.37501967006,871606.0,19537.164037687882,69967.59249554205
2020-04-24,51745.0,53866.87074140963,41581.31732997683,70732.82544148434,21132491.113786258,1837417.4828282455,392702.95221231144,907897.0,18932.137880472124,67800.83873662619
2020-04-25,54014.0,55395.58469840541,42418.05174519334,73525.78617049773,21366077.920608737,1871094.1409394252,399900.51247528906,940818.0,18345.848150416896,65701.18492619116
2020-04-26,55161.0,56876.95749938187,43200.47609736647,76330.4859084058,21592431.020029493,1903727.9015755376,406875.1789641837,968506.0,17777.714618554302,63666.55311556941
2020-04-27,56501.0,58312.455203468635,43932.00754243538,79147.38964142889,21811774.42522583,1935351.061146159,413633.85424496356,990982.0,17227.175024425203,61694.92970592922
2020-04-28,58631.0,59703.49846893165,44615.870760738195,81976.90483482122,22024325.212143462,1965994.915906874,420183.2271251948,1015507.0,16693.684519631104,59784.36345549137
2020-04-29,61251.0,61051.463959145374,45255.10342078146,84819.3925179195,22230293.734328408,1995689.7929320084,426529.7792737039,1042915.0,16176.715128618112,57932.96354845826
2020-04-30,63290.0,62357.68570502496,45852.5630445523,87675.17587385578,22429883.831106033,2024465.0801281966,432679.7916352422,1072656.0,15675.755226159308,56138.89772374442
2020-05-01,65242.0,63623.4564252666,46410.93470918675,90544.54697145605,22623293.029313184,2052349.2553184915,438639.3506465013,1106818.0,15190.30903101847,54400.39046165639
2020-05-02,66667.0,64850.0288057028,46932.739195168906,93427.77209670033,22810712.738783088,2079369.9144257985,444414.3542596316,1136013.0,14719.89611529396,52715.721226727466
2020-05-03,67989.0,66038.61673903855,47420.34131163917,96325.096016248,22992328.4417765,2105553.798783526,450010.5177792244,1161600.0,14264.050928957215,51083.2227649682
2020-05-04,69236.0,67190.39652619547,47875.958212976344,99236.74541777336,23168319.87654653,2130926.82160048,455433.37951853423,1184075.0,13822.322339115359,49501.27945384766
2020-05-05,71386.0,68306.5080404527,48301.667579408386,102162.93170936957,23338861.215218864,2155514.0936061973,460688.3062805404,1208260.0,13394.2731835419,47968.32570337237
2020-05-06,73774.0,69388.05585553676,48699.41557581196,105103.85331523538,23504121.236163393,2179339.94790209,465780.4986692705,1233516.0,12979.479838033632,46482.84440668057
2020-05-07,75985.0,70436.1103387768,49071.02453231319,108059.6975720083,23664263.491027817,2202427.9640430068,470714.99623664294,1261398.0,12577.531797165655,45043.36543861843
2020-05-08,77494.0,71451.70871040697,49418.20031134928,111030.64230588794,23819446.466598608,2224800.9913730337,475496.68246992317,1288555.0,12188.031268029563,43648.4642008123
2020-05-09,79121.0,72435.85607006443,49742.5393409309,114016.85715264916,23969823.741649415,2246481.171638632,480130.2896247275,1314295.0,11810.592776552678,42296.7602117971
2020-05-10,79855.0,73389.5263914988,50045.53530465034,117018.50466907247,24115544.13893224,2267489.9609014965,484620.4034083593,1334073.0,11444.842786008832,40986.91574080559
2020-05-11,81017.0,74313.66348647742,50328.5854866998,120035.74127401589,24256751.872461718,2287848.150772814,488971.4675181116,1352951.0,11090.419327343092,39717.63448386629
2020-05-12,82708.0,75209.18193884053,50592.996775640444,123068.71804946219,24393586.690238345,2307575.8889899435,493187.7880390275,1374903.0,10746.971640944497,38487.660280900156
2020-05-13,84451.0,76076.96800963054,50839.991334499704,126117.58142578567,24526184.01255181,2326692.6993558737,497273.5377054714,1396098.0,10414.159829512479,37295.775872545964
2020-05-14,86228.0,76917.88051419146,51070.71194740807,129182.47377074393,24654675.0660014,2345217.5010612016,501232.7600307277,1423715.0,10091.654521673223,36140.801695484355
2020-05-15,87861.0,77732.75167210618,51286.22705473426,132263.5338979871,24779187.013366032,2363168.6274077445,505069.37330871436,1449015.0,9779.13654601315,35021.5947150682
2020-05-16,89083.0,78522.38793081301,51487.53548977219,135360.89750794726,24899843.079452492,2380563.843952323,508787.1744917713,1474116.0,9476.296615206962,33937.04729410419
2020-05-17,89892.0,79287.57076371649,51675.57093064602,138474.69757164404,25016762.673046414,2397420.3660886646,512389.842948362,1493120.0,9182.835019927557,32886.08609666567
2020-05-18,90682.0,80029.0574435823,51851.20608135894,141605.06466608215,25130061.505086668,2413754.876084836,515880.94410440646,1514828.0,8898.461332234932,31867.671025852414
2020-05-19,92251.0,80747.58179198175,52015.25659591146,144752.12726842216,25239851.703180145,2429583.539593057,519263.93297184963,1535326.0,8622.894118150556,30880.79419444566
2020-05-20,93774.0,81443.85490552749,52168.48475922772,147916.01201489696,25346241.922570247,2444922.021648239,522542.15756795724,1558938.0,8355.860659132708,29924.478927439945
2020-05-21,95019.0,82118.56585961915,52311.60293830736,151096.84392946417,25449337.45366891,2459785.5021710866,525718.8622287228,1584475.0,8097.09668217714,28997.778795464426
